frame.time_epoch;ip.proto;ip.src;ip.dst;tcp.srcport;tcp.dstport;tcp.flags
1603192186.632485000;6;1.1.2.3;5.6.7.8;50040;80;0x00000010
1603192186.632581000;6;1.1.2.3;5.6.7.8;50040;80;0x00000018
1603192186.632780000;6;5.6.7.8;1.1.2.3;80;50040;0x00000010
1603192186.633136000;6;5.6.7.8;1.1.2.3;80;50040;0x00000010
1603192186.633154000;6;1.1.2.3;5.6.7.8;50040;80;0x00000010
1603192186.633186000;6;5.6.7.8;1.1.2.3;80;50040;0x00000018
1603192186.633201000;6;1.1.2.3;5.6.7.8;50040;80;0x00000010
1603192186.634838000;6;1.1.2.3;5.6.7.8;50040;80;0x00000011
1603192186.635228000;6;5.6.7.8;1.1.2.3;80;50040;0x00000011
1603192186.635241000;6;1.1.2.3;5.6.7.8;50040;80;0x00000010
1603192187.634476000;6;1.1.2.3;5.6.7.8;50042;80;0x00000002
1603192187.634655000;6;5.6.7.8;1.1.2.3;80;50042;0x00000012
1603192187.634696000;6;1.1.2.3;5.6.7.8;50042;80;0x00000010
1603192187.634775000;6;1.1.2.3;5.6.7.8;50042;80;0x00000018
1603192187.634944000;6;5.6.7.8;1.1.2.3;80;50042;0x00000010
1603192187.635299000;6;5.6.7.8;1.1.2.3;80;50042;0x00000010
1603192187.635309000;6;1.1.2.3;5.6.7.8;50042;80;0x00000010
1603192187.635349000;6;5.6.7.8;1.1.2.3;80;50042;0x00000010
1603192187.635361000;6;1.1.2.3;5.6.7.8;50042;80;0x00000010
1603192187.635397000;6;5.6.7.8;1.1.2.3;80;50042;0x00000018
1603192187.635409000;6;1.1.2.3;5.6.7.8;50042;80;0x00000010
1603192187.636499000;6;1.1.2.3;5.6.7.8;50042;80;0x00000011
1603192187.636945000;6;5.6.7.8;1.1.2.3;80;50042;0x00000011
1603192187.636968000;6;1.1.2.3;5.6.7.8;50042;80;0x00000010
1603192188.636975000;6;1.1.2.3;5.6.7.8;50044;80;0x00000002
1603192188.637216000;6;5.6.7.8;1.1.2.3;80;50044;0x00000012
1603192188.637265000;6;1.1.2.3;5.6.7.8;50044;80;0x00000010
1603192188.637356000;6;1.1.2.3;5.6.7.8;50044;80;0x00000018
1603192188.637560000;6;5.6.7.8;1.1.2.3;80;50044;0x00000010
1603192188.637914000;6;5.6.7.8;1.1.2.3;80;50044;0x00000010
1603192188.637926000;6;1.1.2.3;5.6.7.8;50044;80;0x00000010
1603192188.637965000;6;5.6.7.8;1.1.2.3;80;50044;0x00000010
1603192188.637983000;6;1.1.2.3;5.6.7.8;50044;80;0x00000010
1603192188.638013000;6;5.6.7.8;1.1.2.3;80;50044;0x00000018
1603192188.638024000;6;1.1.2.3;5.6.7.8;50044;80;0x00000010
1603192188.639191000;6;1.1.2.3;5.6.7.8;50044;80;0x00000011
1603192188.639807000;6;5.6.7.8;1.1.2.3;80;50044;0x00000011
1603192188.639822000;6;1.1.2.3;5.6.7.8;50044;80;0x00000010
1603192189.639343000;6;1.1.2.3;5.6.7.8;50046;80;0x00000002
1603192189.639634000;6;5.6.7.8;1.1.2.3;80;50046;0x00000012
1603192189.639683000;6;1.1.2.3;5.6.7.8;50046;80;0x00000010
1603192189.639772000;6;1.1.2.3;5.6.7.8;50046;80;0x00000018
1603192189.639978000;6;5.6.7.8;1.1.2.3;80;50046;0x00000010
1603192189.640483000;6;5.6.7.8;1.1.2.3;80;50046;0x00000010
1603192189.640502000;6;1.1.2.3;5.6.7.8;50046;80;0x00000010
1603192189.640533000;6;5.6.7.8;1.1.2.3;80;50046;0x00000018
1603192189.640549000;6;1.1.2.3;5.6.7.8;50046;80;0x00000010
1603192189.641607000;6;1.1.2.3;5.6.7.8;50046;80;0x00000011
1603192189.642132000;6;5.6.7.8;1.1.2.3;80;50046;0x00000011
1603192189.642152000;6;1.1.2.3;5.6.7.8;50046;80;0x00000010
1603192190.641976000;6;1.1.2.3;5.6.7.8;50048;80;0x00000002
1603192190.642304000;6;5.6.7.8;1.1.2.3;80;50048;0x00000012
1603192190.642351000;6;1.1.2.3;5.6.7.8;50048;80;0x00000010
1603192190.642445000;6;1.1.2.3;5.6.7.8;50048;80;0x00000018
1603192190.642703000;6;5.6.7.8;1.1.2.3;80;50048;0x00000010
1603192190.643057000;6;5.6.7.8;1.1.2.3;80;50048;0x00000010
1603192190.643075000;6;1.1.2.3;5.6.7.8;50048;80;0x00000010
1603192190.643104000;6;5.6.7.8;1.1.2.3;80;50048;0x00000010
1603192190.643115000;6;1.1.2.3;5.6.7.8;50048;80;0x00000010
1603192190.643152000;6;5.6.7.8;1.1.2.3;80;50048;0x00000018
1603192190.643160000;6;1.1.2.3;5.6.7.8;50048;80;0x00000010
1603192190.644099000;6;1.1.2.3;5.6.7.8;50048;80;0x00000011
1603192190.644703000;6;5.6.7.8;1.1.2.3;80;50048;0x00000011
1603192190.644732000;6;1.1.2.3;5.6.7.8;50048;80;0x00000010
1603192191.644385000;6;1.1.2.3;5.6.7.8;50050;80;0x00000002
